Cuisine,Dish Name,Ingredients,Procedure
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Greek,Moussaka,"eggplant, ground lamb, tomatoes, onions, garlic, béchamel sauce, olive oil, cinnamon, nutmeg, salt, pepper","Roast eggplant slices and cook ground lamb with onions, garlic, and tomatoes. Layer eggplant and meat, top with béchamel, then bake until golden."
Kenyan,Kenyan Specialty,"Kenyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kenyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Portuguese,Bacalhau à Brás,"salted cod, potatoes, eggs, onions, olives, parsley, salt, pepper, olive oil","Soak salted cod to remove excess salt. Sauté onions, add shredded cod and fried potato strips, then stir in beaten eggs until just set. Garnish with olives and parsley."
Belgian,Belgian Specialty,"Belgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Belgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Czech,Svíčková,"beef sirloin, carrots, celery, onions, cream, vinegar, bay leaves, pepper, salt, oil",Roast beef and blend cooked vegetables into a creamy sauce. Serve sliced beef with the sauce and traditional dumplings.
Swiss,Swiss Specialty,"Swiss spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Swiss spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
American,Classic Burger,"ground beef, hamburger buns, lettuce, tomato, cheddar cheese, onions, pickles, salt, pepper, condiments","Form ground beef into patties, season and grill to desired doneness. Assemble on a bun with fresh vegetables and condiments."
Peruvian,Ceviche,"fish, lime juice, red onions, cilantro, chili, salt, sweet potato, corn","Marinate diced fish in lime juice until opaque. Mix with thinly sliced onions, cilantro, and chili, then serve with sweet potato and corn."
Italian,Spaghetti Carbonara,"spaghetti, pancetta, eggs, Parmesan cheese, black pepper, salt","Cook spaghetti until al dente. Fry pancetta until crisp. Mix eggs and cheese, then combine with hot pasta off the heat to create a creamy sauce. Season with pepper."
Chilean,Empanadas,"flour, beef, onions, olives, raisins, hard-boiled egg, cumin, paprika, salt, pepper, oil","Prepare dough from flour and water. Cook beef with onions and spices, then fill dough rounds with the mixture, fold and bake until golden."
Palestinian,Palestinian Specialty,"Palestinian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Palestinian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Thai,Green Curry,"chicken, green curry paste, coconut milk, bamboo shoots, Thai basil, bell peppers, fish sauce, sugar, oil","Sauté green curry paste in oil, add chicken and cook until sealed. Pour in coconut milk with bamboo shoots and peppers, simmer, then season with fish sauce and sugar. Garnish with basil."
Polynesian,Polynesian Specialty,"Polynesian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Polynesian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Belgian,Moules-Frites,"mussels, potatoes, white wine, garlic, shallots, parsley, butter, salt, pepper",Steam mussels in white wine with garlic and shallots. Serve with crispy fries tossed in parsley and butter.
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Libyan,Libyan Specialty,"Libyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Libyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Persian,Ghormeh Sabzi,"lamb, kidney beans, spinach, parsley, cilantro, fenugreek, dried limes, onions, garlic, turmeric, oil, salt, pepper","Brown lamb with onions and garlic, add herbs, beans, and dried limes, then simmer until tender."
Italian,Spaghetti Carbonara,"spaghetti, pancetta, eggs, Parmesan cheese, black pepper, salt","Cook spaghetti until al dente. Fry pancetta until crisp. Mix eggs and cheese, then combine with hot pasta off the heat to create a creamy sauce. Season with pepper."
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indonesian,Nasi Goreng,"rice, shrimp, chicken, vegetables, kecap manis, garlic, shallots, egg, chili, salt, oil","Stir-fry garlic and shallots, add shrimp and chicken. Mix in rice and kecap manis, fry until well combined, then top with a fried egg."
Italian,Spaghetti Carbonara,"spaghetti, pancetta, eggs, Parmesan cheese, black pepper, salt","Cook spaghetti until al dente. Fry pancetta until crisp. Mix eggs and cheese, then combine with hot pasta off the heat to create a creamy sauce. Season with pepper."
Tunisian,Tunisian Specialty,"Tunisian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tunisian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Polish,Pierogi,"flour, potatoes, cheese, onions, butter, salt, pepper","Prepare dough and roll out. Fill with mashed potatoes mixed with cheese and sautéed onions, then boil and lightly fry in butter."
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chinese,Sweet and Sour Pork,"pork, bell peppers, pineapple, vinegar, ketchup, sugar, garlic, ginger, salt, oil","Coat pork in a light batter and fry until crispy. Stir-fry vegetables, add pineapple and sauce, then combine with pork and serve."
Argentinian,Asado,"beef ribs, chorizo, salt, pepper, chimichurri, garlic, olive oil, vinegar",Season meats with salt and pepper and grill slowly over coals. Serve with a tangy chimichurri sauce.
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mediterranean,Mediterranean Specialty,"Mediterranean spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mediterranean spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Indian,Butter Chicken,"chicken, butter, tomato puree, heavy cream, garlic, ginger, garam masala, cumin, coriander, turmeric, chili powder, salt","Marinate chicken with yogurt and spices. Sauté garlic and ginger in butter, add tomato puree and spices, then simmer. Add chicken and cream; cook until tender."
Irish,Irish Specialty,"Irish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Irish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Swiss,Fondue,"Gruyère cheese, Emmental cheese, white wine, garlic, cornstarch, kirsch, bread, salt, pepper","Melt cheeses with white wine and garlic, then stir in cornstarch mixed with kirsch. Serve with cubes of bread for dipping."
Tajik,Tajik Specialty,"Tajik spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tajik spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Vietnamese,Pho,"beef broth, rice noodles, thinly sliced beef, star anise, cinnamon, cloves, ginger, onions, fish sauce, bean sprouts, basil, lime","Simmer beef broth with spices and aromatics for several hours. Place rice noodles and beef in a bowl, pour over hot broth, and garnish with herbs and lime."
Cuban,Ropa Vieja,"shredded beef, bell peppers, tomatoes, onions, garlic, cumin, oregano, olive oil, salt, pepper","Slow-cook beef until tender and shred it. Sauté vegetables with spices, add beef back, and simmer until the flavors meld."
Puerto Rican,Puerto Rican Specialty,"Puerto Rican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Puerto Rican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chilean,Empanadas,"flour, beef, onions, olives, raisins, hard-boiled egg, cumin, paprika, salt, pepper, oil","Prepare dough from flour and water. Cook beef with onions and spices, then fill dough rounds with the mixture, fold and bake until golden."
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Belgian,Moules-Frites,"mussels, potatoes, white wine, garlic, shallots, parsley, butter, salt, pepper",Steam mussels in white wine with garlic and shallots. Serve with crispy fries tossed in parsley and butter.
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Estonian,Estonian Specialty,"Estonian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Estonian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Dominican,Dominican Specialty,"Dominican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dominican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Indian,Chole Masala,"chickpeas, onions, tomatoes, garlic, ginger, cumin, coriander, turmeric, chili powder, garam masala, salt, oil","Sauté onions, garlic, and ginger. Add tomatoes and spices, then chickpeas. Simmer until flavors meld and serve hot."
Persian,Ghormeh Sabzi,"lamb, kidney beans, spinach, parsley, cilantro, fenugreek, dried limes, onions, garlic, turmeric, oil, salt, pepper","Brown lamb with onions and garlic, add herbs, beans, and dried limes, then simmer until tender."
Sri Lankan,Sri Lankan Specialty,"Sri Lankan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Sri Lankan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Irish,Irish Specialty,"Irish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Irish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Persian,Persian Specialty,"Persian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Persian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Hawaiian,Hawaiian Specialty,"Hawaiian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Hawaiian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Persian,Ghormeh Sabzi,"lamb, kidney beans, spinach, parsley, cilantro, fenugreek, dried limes, onions, garlic, turmeric, oil, salt, pepper","Brown lamb with onions and garlic, add herbs, beans, and dried limes, then simmer until tender."
Cambodian,Cambodian Specialty,"Cambodian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Cambodian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indigenous Australian,Indigenous Australian Specialty,"Indigenous Australian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Indigenous Australian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tajik,Tajik Specialty,"Tajik spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tajik spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Sri Lankan,Sri Lankan Specialty,"Sri Lankan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Sri Lankan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Serbian,Serbian Specialty,"Serbian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Serbian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lebanese,Tabbouleh,"bulgur wheat, parsley, mint, tomatoes, cucumbers, lemon juice, olive oil, salt, pepper","Soak bulgur wheat until soft, then mix with finely chopped parsley, mint, tomatoes, and cucumbers. Season with lemon juice, olive oil, salt, and pepper."
Ukrainian,Borscht,"beets, cabbage, potatoes, carrots, tomatoes, onions, garlic, dill, vinegar, salt, pepper","Boil vegetables in a savory broth, add vinegar and dill, then simmer until tender. Serve hot with a dollop of sour cream."
Scandinavian,Gravlax,"salmon, salt, sugar, dill, white pepper","Cure salmon with a mixture of salt, sugar, dill, and white pepper for several days. Slice thinly and serve with mustard sauce."
Serbian,Serbian Specialty,"Serbian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Serbian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Nigerian,Nigerian Specialty,"Nigerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nigerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Italian,Margherita Pizza,"pizza dough, tomato sauce, mozzarella, basil, olive oil, salt","Spread tomato sauce on rolled-out dough, top with mozzarella and basil. Drizzle with olive oil and bake until the crust is golden."
Croatian,Croatian Specialty,"Croatian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Croatian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Brazilian,Feijoada,"black beans, pork, beef, sausage, onions, garlic, bay leaves, orange, salt, pepper","Soak black beans overnight. Cook with assorted meats, onions, garlic, and spices until thick and flavorful. Garnish with orange slices."
Georgian,Georgian Specialty,"Georgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Georgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tunisian,Tunisian Specialty,"Tunisian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tunisian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chinese,Sweet and Sour Pork,"pork, bell peppers, pineapple, vinegar, ketchup, sugar, garlic, ginger, salt, oil","Coat pork in a light batter and fry until crispy. Stir-fry vegetables, add pineapple and sauce, then combine with pork and serve."
Puerto Rican,Puerto Rican Specialty,"Puerto Rican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Puerto Rican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Peruvian,Peruvian Specialty,"Peruvian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Peruvian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Austrian,Wiener Schnitzel,"veal, flour, eggs, breadcrumbs, lemon, salt, pepper, oil","Pound veal thin, dredge in flour, dip in beaten egg, then coat with breadcrumbs. Fry until golden and serve with lemon wedges."
Japanese,Salmon Nigiri Sushi,"sushi rice, rice vinegar, sugar, salt, fresh salmon, wasabi, soy sauce","Prepare sushi rice with rice vinegar, sugar, and salt. Slice salmon thinly and mold rice into ovals. Top with salmon and a dab of wasabi; serve with soy sauce."
Greek,Greek Specialty,"Greek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Greek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mediterranean,Hummus,"chickpeas, tahini, garlic, lemon juice, olive oil, salt, paprika","Blend chickpeas, tahini, garlic, and lemon juice until smooth. Drizzle with olive oil and sprinkle with paprika."
Nepalese,Nepalese Specialty,"Nepalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nepalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Cuban,Cuban Specialty,"Cuban spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Cuban spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Greek,Greek Salad,"tomatoes, cucumbers, red onions, olives, feta cheese, olive oil, oregano, salt, pepper","Chop vegetables and combine with olives and feta. Drizzle with olive oil, season with oregano, salt, and pepper, then toss gently."
Ghanaian,Ghanaian Specialty,"Ghanaian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Ghanaian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Latvian,Latvian Specialty,"Latvian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Latvian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
New Zealand,Pavlova,"egg whites, sugar, vinegar, cornstarch, whipped cream, fruits","Whisk egg whites with sugar to stiff peaks, fold in vinegar and cornstarch, then bake until crisp outside and soft inside. Top with whipped cream and fresh fruits."
Algerian,Algerian Specialty,"Algerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Algerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Singaporean,Hainanese Chicken Rice,"chicken, rice, ginger, garlic, pandan leaves, chicken broth, cucumber, chili sauce, salt, oil","Poach chicken with ginger and pandan leaves. Cook rice in chicken broth with garlic, then serve sliced chicken over the rice with cucumber and chili sauce."
Swiss,Fondue,"Gruyère cheese, Emmental cheese, white wine, garlic, cornstarch, kirsch, bread, salt, pepper","Melt cheeses with white wine and garlic, then stir in cornstarch mixed with kirsch. Serve with cubes of bread for dipping."
Afghan,Kabuli Pulao,"basmati rice, lamb, carrots, raisins, almonds, onions, spices, salt, oil","Cook lamb with onions and spices. Layer parboiled rice with lamb, carrots, raisins, and almonds, then steam until flavors meld."
Scandinavian,Gravlax,"salmon, salt, sugar, dill, white pepper","Cure salmon with a mixture of salt, sugar, dill, and white pepper for several days. Slice thinly and serve with mustard sauce."
Russian,Borscht,"beets, cabbage, carrots, potatoes, tomatoes, onions, garlic, dill, vinegar, salt, pepper",Boil vegetables in beef or vegetable broth with vinegar and seasonings until tender. Garnish with dill and serve hot or cold.
Croatian,Croatian Specialty,"Croatian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Croatian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
French,French Specialty,"French spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in French spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Australian,Meat Pie,"minced meat, onions, gravy, puff pastry, salt, pepper, herbs","Cook minced meat with onions and herbs in gravy. Fill puff pastry rounds with the mixture, seal and bake until golden."
Russian,Borscht,"beets, cabbage, carrots, potatoes, tomatoes, onions, garlic, dill, vinegar, salt, pepper",Boil vegetables in beef or vegetable broth with vinegar and seasonings until tender. Garnish with dill and serve hot or cold.
Caribbean,Jerk Chicken,"chicken, allspice, thyme, Scotch bonnet peppers, garlic, ginger, brown sugar, lime juice, salt, pepper","Marinate chicken with a blend of spices and lime juice, then grill until charred. Serve with rice and peas."
Pakistani,Pakistani Specialty,"Pakistani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Pakistani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indian,Chole Masala,"chickpeas, onions, tomatoes, garlic, ginger, cumin, coriander, turmeric, chili powder, garam masala, salt, oil","Sauté onions, garlic, and ginger. Add tomatoes and spices, then chickpeas. Simmer until flavors meld and serve hot."
New Zealand,Pavlova,"egg whites, sugar, vinegar, cornstarch, whipped cream, fruits","Whisk egg whites with sugar to stiff peaks, fold in vinegar and cornstarch, then bake until crisp outside and soft inside. Top with whipped cream and fresh fruits."
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mexican,Chicken Enchiladas,"chicken, corn tortillas, enchilada sauce, cheese, onions, garlic, cumin, chili powder, salt, oil","Shred cooked chicken and mix with sautéed onions, garlic, and spices. Fill tortillas with the mixture, roll them up, cover with sauce and cheese, and bake."
Polish,Pierogi,"flour, potatoes, cheese, onions, butter, salt, pepper","Prepare dough and roll out. Fill with mashed potatoes mixed with cheese and sautéed onions, then boil and lightly fry in butter."
German,Sauerbraten,"beef roast, vinegar, water, onions, carrots, celery, garlic, bay leaves, cloves, sugar, salt, pepper, oil","Marinate beef in vinegar, water, and spices for several days. Brown and slow-cook the beef in the marinade until tender. Serve with the resulting gravy."
Estonian,Estonian Specialty,"Estonian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Estonian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Syrian,Syrian Specialty,"Syrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Syrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Afghan,Kabuli Pulao,"basmati rice, lamb, carrots, raisins, almonds, onions, spices, salt, oil","Cook lamb with onions and spices. Layer parboiled rice with lamb, carrots, raisins, and almonds, then steam until flavors meld."
Algerian,Algerian Specialty,"Algerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Algerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Georgian,Georgian Specialty,"Georgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Georgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kazakh,Kazakh Specialty,"Kazakh spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kazakh spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Cambodian,Cambodian Specialty,"Cambodian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Cambodian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Pakistani,Pakistani Specialty,"Pakistani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Pakistani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Spanish,Paella,"rice, saffron, chicken, seafood, chorizo, bell peppers, peas, tomatoes, onions, garlic, chicken broth, olive oil, salt","Brown chicken and chorizo, then sauté onions, garlic, and peppers. Add rice with saffron-infused broth, arrange seafood and peas on top, and simmer until the rice is done."
